"player","war","all_stars","type","yearID","votedBy","ballots","needed","votes","inducted","category","needed_note"
"alexape01",116.2,0,"pitcher",1938,"BBWAA",262,197,212,"Y","Player",NA
"bendech01",42.8,0,"pitcher",1953,"Veterans",NA,NA,NA,"Y","Player",NA
"blylebe01",96.1,2,"pitcher",2011,"BBWAA",581,436,463,"Y","Player",NA
"brownmo01",57.2,0,"pitcher",1949,"Old Timers",NA,NA,NA,"Y","Player",NA
"bunniji01",60.4,9,"pitcher",1996,"Veterans",NA,NA,NA,"Y","Player",NA
"carltst01",84.1,10,"pitcher",1994,"BBWAA",456,342,436,"Y","Player",NA
"chesbja01",42.5,0,"pitcher",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"clarkjo01",85,0,"pitcher",1963,"Veterans",NA,NA,NA,"Y","Player",NA
"covelst01",66.6,0,"pitcher",1969,"Veterans",NA,NA,NA,"Y","Player",NA
"deandi01",43.9,4,"pitcher",1953,"BBWAA",264,198,209,"Y","Player",NA
"drysddo01",61.3,9,"pitcher",1984,"BBWAA",403,303,316,"Y","Player",NA
"eckerde01",62.3,6,"pitcher",2004,"BBWAA",506,380,421,"Y","Player",NA
"faberre01",67.7,0,"pitcher",1964,"Veterans",NA,NA,NA,"Y","Player",NA
"fellebo01",65.2,8,"pitcher",1962,"BBWAA",160,120,150,"Y","Player",NA
"fingero01",25,7,"pitcher",1992,"BBWAA",430,323,349,"Y","Player",NA
"fordwh01",53.6,10,"pitcher",1974,"BBWAA",365,274,284,"Y","Player",NA
"galvipu01",83.3,0,"pitcher",1965,"Veterans",NA,NA,NA,"Y","Player",NA
"gibsobo01",81.7,9,"pitcher",1981,"BBWAA",401,301,337,"Y","Player",NA
"glavito02",73.9,10,"pitcher",2014,"BBWAA",571,429,525,"Y","Player",NA
"gomezle01",43.2,7,"pitcher",1972,"Veterans",NA,NA,NA,"Y","Player",NA
"gossari01",41.6,9,"pitcher",2008,"BBWAA",543,408,466,"Y","Player",NA
"griffcl01",59.9,0,"pitcher",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"grimebu01",46.7,0,"pitcher",1964,"Veterans",NA,NA,NA,"Y","Player",NA
"grovele01",113.3,6,"pitcher",1947,"BBWAA",161,121,123,"Y","Player",NA
"haineje01",35.7,0,"pitcher",1970,"Veterans",NA,NA,NA,"Y","Player",NA
"hallaro01",65.4,8,"pitcher",2019,"BBWAA",425,319,363,"Y","Player",NA
"hoffmtr01",28.1,7,"pitcher",2018,"BBWAA",422,317,337,"Y","Player",NA
"hoytwa01",54.1,0,"pitcher",1969,"Veterans",NA,NA,NA,"Y","Player",NA
"hubbeca01",68.8,9,"pitcher",1947,"BBWAA",161,121,140,"Y","Player",NA
"hunteca01",36.3,8,"pitcher",1987,"BBWAA",413,310,315,"Y","Player",NA
"jenkife01",82.2,3,"pitcher",1991,"BBWAA",443,333,334,"Y","Player",NA
"johnsra05",103.5,10,"pitcher",2015,"BBWAA",549,412,534,"Y","Player",NA
"johnswa01",152.3,0,"pitcher",1936,"BBWAA",226,170,189,"Y","Player",NA
"kaatji01",45.2,3,"pitcher",2022,"Veterans",NA,NA,NA,"Y","Player",NA
"keefeti01",89.1,0,"pitcher",1964,"Veterans",NA,NA,NA,"Y","Player",NA
"koufasa01",53.1,7,"pitcher",1972,"BBWAA",396,297,344,"Y","Player",NA
"lemonbo01",37.5,7,"pitcher",1976,"BBWAA",388,291,305,"Y","Player",NA
"lyonste01",66.8,1,"pitcher",1955,"BBWAA",251,189,217,"Y","Player",NA
"maddugr01",104.8,8,"pitcher",2014,"BBWAA",571,429,555,"Y","Player",NA
"maricju01",61.8,10,"pitcher",1983,"BBWAA",374,281,313,"Y","Player",NA
"marquru01",34.7,0,"pitcher",1971,"Veterans",NA,NA,NA,"Y","Player",NA
"martipe02",86.1,8,"pitcher",2015,"BBWAA",549,412,500,"Y","Player",NA
"mathech01",100.4,0,"pitcher",1936,"BBWAA",226,170,205,"Y","Player",NA
"mcginjo01",61.9,0,"pitcher",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"morrija02",43.6,5,"pitcher",2018,"Veterans",NA,NA,NA,"Y","Player",NA
"mussimi01",82.8,5,"pitcher",2019,"BBWAA",425,319,326,"Y","Player",NA
"newhoha01",60,7,"pitcher",1992,"Veterans",NA,NA,NA,"Y","Player",NA
"nichoki01",116.7,0,"pitcher",1949,"Old Timers",NA,NA,NA,"Y","Player",NA
